epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,9786.53,0.44716,0.36023,1.31093,0.81181,0.72433,0.82383,0.71481,0.67096,0.81354,1.9172,0.00027132,0.00027132,0.00027132
157,9846.63,0.45012,0.36119,1.32133,0.80167,0.74567,0.82808,0.71623,0.66941,0.7895,1.9006,0.000268464,0.000268464,0.000268464
158,9906.92,0.44122,0.35382,1.31926,0.82116,0.71353,0.82869,0.71998,0.67325,0.79154,1.84762,0.000265608,0.000265608,0.000265608
159,9967.27,0.45267,0.36052,1.34084,0.81124,0.73347,0.83191,0.72079,0.67011,0.79391,1.81424,0.000262752,0.000262752,0.000262752
160,10027.6,0.45995,0.36647,1.31453,0.79302,0.7443,0.83667,0.72606,0.6661,0.77,1.84888,0.000259896,0.000259896,0.000259896
161,10088.4,0.4426,0.35232,1.31637,0.83253,0.71546,0.83911,0.72962,0.67358,0.78416,1.8659,0.00025704,0.00025704,0.00025704
162,10148.3,0.4492,0.35332,1.32063,0.78106,0.73738,0.82997,0.71911,0.6786,0.78708,1.86119,0.000254184,0.000254184,0.000254184
163,10208.4,0.44192,0.35091,1.3418,0.80679,0.71683,0.83573,0.72571,0.66945,0.76087,1.9266,0.000251328,0.000251328,0.000251328
164,10268.3,0.44024,0.35199,1.31568,0.80126,0.71836,0.83202,0.72386,0.67222,0.78339,1.84365,0.000248472,0.000248472,0.000248472
165,10328.7,0.43596,0.34663,1.29716,0.83707,0.68942,0.83999,0.72911,0.67606,0.79454,1.87896,0.000245616,0.000245616,0.000245616
166,10388.8,0.43639,0.3444,1.29998,0.80492,0.71784,0.83251,0.72359,0.6666,0.79151,1.8681,0.00024276,0.00024276,0.00024276
167,10448.9,0.43151,0.34477,1.32203,0.84271,0.69565,0.8301,0.7201,0.67064,0.78698,1.83188,0.000239904,0.000239904,0.000239904
168,10508.5,0.44028,0.35365,1.32619,0.77561,0.73369,0.8277,0.71702,0.66796,0.79117,1.87383,0.000237048,0.000237048,0.000237048
169,10568.4,0.4416,0.34702,1.32242,0.82154,0.70529,0.83619,0.72455,0.6686,0.80237,1.863,0.000234192,0.000234192,0.000234192
